date,open,high,low,close,volume,vwap
2023-03-09,21699.41,21825.53,20050,20367.01,30364664171,20985.4875
2023-03-10,20366.97,20369.78,19568.52,20230.08,39578257695,20133.8375
2023-03-11,20230.07,20964.5,19900.5,20620.54,30180288176,20428.9025
2023-03-12,20619.34,22276.69,20446.24,22219.08,29279035521,21390.3375
2023-03-13,22216.02,24710,21882.63,24220,49466362688,23257.1625
2023-03-14,24220,26553.9,24052,24762.65,54622230164,24897.1375
2023-03-15,24761.61,25300,23931.01,24377.16,43655701450,24592.445
2023-03-16,24377.16,25235.28,24207.54,25051.85,33866061747,24717.9575
2023-03-17,25052.11,27834.54,24946.86,27453.62,50730261335,26321.7825
2023-03-18,27453.75,27780,26652.45,26980.35,35723036817,27216.6375
2023-03-19,26980.35,28478,26904,28054.46,37769448859,27604.2025
2023-03-20,28058.15,28578.63,27218.36,27823.32,44774027664,27919.615
2023-03-21,27822.85,28605.32,27414.77,28207.33,36102192830,28012.5675
2023-03-22,28201.22,28937.73,26678.16,27325.15,33382021890,27785.565
2023-03-23,27324.05,28839.68,27189.19,28352.94,24220433689,27926.465
2023-03-24,28352.95,28433.34,27027.88,27489.24,25980310960,27825.8525
2023-03-25,27489.24,27818.67,27184.78,27488.18,13383005987,27495.2175
2023-03-26,27489.56,28230.32,27445.04,27992.9,13878363192,27789.455
2023-03-27,27995.27,28053.26,26525,27142.87,18188895178,27429.1
2023-03-28,27142.85,27519.99,26640,27274.15,17783600385,27144.2475
2023-03-29,27274.18,28654.06,27255.42,28359.54,20684945906,27885.8
2023-03-30,28359.54,29190.04,27693.7,28035.48,22435349951,28319.69
2023-03-31,28034.88,28650.2,27512.97,28474.4,19001327598,28168.1125
2023-04-01,28475.41,28826.45,28223.76,28471.46,10876469901,28499.27
2023-04-02,28471.03,28544.21,27862.69,28188.34,12284641999,28266.5675
2023-04-03,28188.34,28525,27227.61,27811.77,19556501327,27938.18
2023-04-04,27809.55,28450,27670.24,28179.64,15284538859,28027.3575
2023-04-05,28178.66,28799.99,27817.32,28175.37,17052315986,28242.835
2023-04-06,28175.27,28199.11,27716.77,28053.46,13837809380,28036.1525
2023-04-07,28052.74,28120.71,27790.21,27931.94,10861680497,27973.9
2023-04-08,27930.12,28175.89,27881.01,27958.81,9373255556,27986.4575
2023-04-09,27958.19,28547.67,27814,28340.99,12175322951,28165.2125
2023-04-10,28342.28,29794.47,28162.49,29660.41,19282400094,28989.9125
2023-04-11,29657.7,30584.58,29612.3,30227.19,20121259843,30020.4425
2023-04-12,30227.18,30517,29675,29912.2,18651929926,30082.845
2023-04-13,29912.2,30627.05,29878.08,30406.78,17487721001,30206.0275
2023-04-14,30410.03,31050,30000,30492.92,22659995079,30488.2375
2023-04-15,30492.91,30622.38,30231.76,30324.11,11940685378,30417.79
2023-04-16,30325.07,30572.1,30148.28,30326.09,12854816417,30342.885
2023-04-17,30321.41,30340.21,29251.71,29449.91,17872186762,29840.81
2023-04-18,29449.91,30500,29103.89,30393.4,19480529496,29861.8
2023-04-19,30394.5,30430.72,28595.28,28809.72,24571565421,29557.555
2023-04-20,28809.71,29102.69,27991.32,28248.18,21340360360,28537.975
2023-04-21,28248.18,28371.88,27133,27253.85,20759504330,27751.7275
2023-04-22,27252.96,27887.78,27133,27821.41,13125734602,27523.7875
2023-04-23,27820.99,27820.99,27333.2,27592.98,12785446832,27642.04
2023-04-24,27592.7,28000,26965.14,27515.05,17703288330,27518.2225
2023-04-25,27513.85,28400,27194.51,28304.42,17733373139,27853.195
2023-04-26,28304.42,30050.66,27230.77,28426.08,31854242019,28502.9825
2023-04-27,28428.86,29900,28387.07,29483.72,27153445027,29049.9125
2023-04-28,29486.97,29606.45,28900,29338.63,17544464887,29333.0125
2023-04-29,29339.47,29470,29057.3,29249.35,10662634333,29279.03
2023-04-30,29249.24,29969.99,29095.92,29247.14,14652199272,29390.5725
2023-05-01,29240.49,29348.6,27664.31,28077.27,18655599976,28582.6675
2023-05-02,28077.44,28899.99,27871.44,28684.4,16432924527,28383.3175
2023-05-03,28683.41,29276.12,28122,29038.75,19122972518,28780.07
2023-05-04,29039.36,29383.5,28674.58,28857.23,15548678514,28988.6675
2023-05-05,28857.88,29706.57,28810,29536.76,17936566518,29227.8025
2023-05-06,29538.87,29850,28394,28902.66,15913866714,29171.3825
2023-05-07,28901.3,29189.71,28429.12,28474.53,11301355486,28748.665
